Timestamp,Temperature,Precipitation,Wind Speed,Wind Direction
20220107T0100,30.722952,0.0,2.2480934,174.28941
20220107T0200,30.884953,0.0,1.5817528,135.0
20220107T0300,30.758951,0.0,1.7471032,129.80557
20220107T0400,31.406952,0.0,1.204627,158.1986
20220107T0500,31.208952,0.0,0.31635058,225.0
20220107T0600,30.902952,0.0,2.0623534,229.39871
20220107T0700,31.406952,0.0,3.809365,229.76364
20220107T0800,34.21495,0.0,6.502524,243.43495
20220107T0900,36.51895,0.0,13.205505,243.869
20220107T1000,38.336952,0.0,16.873678,255.41107
20220107T1100,39.32695,0.0,16.243608,247.31944
20220107T1200,38.62495,0.0,11.937781,257.00537
20220107T1300,38.78695,0.0,11.864202,225.7639
20220107T1400,38.48095,0.4,11.773172,255.69974
20220107T1500,37.65295,0.8,12.384225,249.92847
20220107T1600,36.73495,0.1,16.057713,251.31265
20220107T1700,37.04095,0.0,17.410782,249.70242
20220107T1800,37.07695,0.0,16.742687,247.20349
20220107T1900,36.752953,0.0,18.405514,249.36246
